Symbol,Total Return (%),CAGR (%),Buy & Hold Return (%),Final Equity (INR),Peak Equity (INR),Max Drawdown (%),Avg Drawdown (%),Volatility (Ann. %),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Win Rate (%),Best Trade (%),Worst Trade (%),Avg Trade (%),Profit Factor,Expectancy (%),SQN,Kelly Criterion,Exposure Time (%),Avg Trade Duration,Max Trade Duration,Max Drawdown Duration,Avg Drawdown Duration
JSWSTEEL,-0.58,-0.09,235.65,994179.65,1004601.42,-5.81,-1.8,1.66,-0.0512,-0.067,-0.0147,18,72.22,13.22,-29.44,-0.75,0.95,-0.18,-0.0954,0.4304,17.14,23 days 00:00:00,75 days 00:00:00,2272 days 00:00:00,595 days 00:00:00
COALINDIA,0.93,0.13,137.96,1009257.94,1022676.81,-3.15,-0.49,1.36,0.0987,0.1419,0.0427,22,68.18,9.11,-16.16,0.47,1.32,0.65,0.4917,0.4409,21.54,24 days 00:00:00,59 days 00:00:00,1362 days 00:00:00,100 days 00:00:00
M&M,0.94,0.14,319.97,1009390.8,1009390.8,-5.05,-1.54,1.44,0.0946,0.1323,0.027,18,66.67,9.09,-16.55,0.29,1.22,0.55,0.3106,0.3933,14.71,21 days 00:00:00,45 days 00:00:00,2333 days 00:00:00,590 days 00:00:00
TECHM,-2.34,-0.34,262.28,976629.46,1012754.12,-6.11,-1.16,1.35,-0.2548,-0.3321,-0.0564,12,66.67,7.05,-28.01,-2.54,0.6,-1.91,-0.6207,0.1121,13.26,28 days 00:00:00,61 days 00:00:00,1763 days 00:00:00,269 days 00:00:00
INDUSINDBK,-6.98,-1.05,-42.19,930197.61,1003415.89,-9.36,-4.7,2.02,-0.5203,-0.6829,-0.1122,18,66.67,18.34,-68.6,-6.84,0.51,-3.84,-0.8639,0.0094,21.13,29 days 00:00:00,91 days 00:00:00,2318 days 00:00:00,1161 days 00:00:00
HINDALCO,-1.37,-0.2,143.78,986341.37,1023176.65,-5.58,-0.86,1.83,-0.1094,-0.1498,-0.0359,22,59.09,10.23,-45.75,-1.24,0.9,-0.36,-0.1695,0.1345,21.89,25 days 00:00:00,73 days 00:00:00,1979 days 00:00:00,204 days 00:00:00
GRASIM,-2.89,-0.43,116.09,971105.26,1007347.28,-6.26,-1.43,1.6,-0.2672,-0.3578,-0.0682,19,63.16,9.27,-28.37,-1.92,0.64,-1.41,-0.6472,0.0592,17.72,23 days 00:00:00,54 days 00:00:00,2279 days 00:00:00,395 days 00:00:00
BPCL,4.89,0.7,99.0,1048926.32,1054627.22,-3.64,-0.44,1.65,0.4231,0.598,0.1923,22,72.73,10.42,-13.14,2.07,3.42,2.19,2.0595,0.6476,19.57,22 days 00:00:00,42 days 00:00:00,1718 days 00:00:00,86 days 00:00:00
CIPLA,1.78,0.26,160.82,1017830.92,1029305.66,-2.3,-0.65,1.33,0.1942,0.302,0.1123,21,71.43,5.13,-15.11,0.73,1.56,0.85,0.7828,0.5308,18.47,21 days 00:00:00,75 days 00:00:00,740 days 00:00:00,151 days 00:00:00
SBILIFE,0.27,0.04,107.02,1002724.96,1017455.44,-4.5,-1.12,1.36,0.0292,0.0392,0.0088,17,76.47,7.77,-19.43,0.26,1.2,0.53,0.2849,0.5689,13.49,19 days 00:00:00,64 days 00:00:00,1786 days 00:00:00,373 days 00:00:00
