Symbol,Total Return (%),CAGR (%),Buy & Hold Return (%),Final Equity (INR),Peak Equity (INR),Max Drawdown (%),Avg Drawdown (%),Volatility (Ann. %),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Win Rate (%),Best Trade (%),Worst Trade (%),Avg Trade (%),Profit Factor,Expectancy (%),SQN,Kelly Criterion,Exposure Time (%),Avg Trade Duration,Max Trade Duration,Max Drawdown Duration,Avg Drawdown Duration
COLPAL,-1.26,-0.18,173.5,987449.42,1006870.12,-2.69,-0.68,0.86,-0.2139,-0.3,-0.0684,14,64.29,5.28,-11.7,-1.01,0.54,-0.9,-0.7166,-0.0237,15.11,27 days 00:00:00,56 days 00:00:00,1169 days 00:00:00,290 days 00:00:00
DABUR,5.75,0.82,51.26,1057544.71,1067096.7,-1.3,-0.38,1.1,0.744,1.1288,0.6307,26,73.08,8.22,-8.99,2.08,3.31,2.17,2.6422,0.6494,20.56,20 days 00:00:00,54 days 00:00:00,286 days 00:00:00,59 days 00:00:00
DLF,6.44,0.91,244.48,1064381.05,1064531.4,-3.37,-0.7,1.83,0.5002,0.7348,0.271,20,75.0,16.41,-18.23,2.87,2.88,3.16,1.8157,0.6633,16.79,21 days 00:00:00,41 days 00:00:00,690 days 00:00:00,115 days 00:00:00
DMART,2.16,0.31,201.37,1021568.74,1040730.29,-2.71,-1.15,1.51,0.2062,0.3122,0.1153,22,59.09,13.02,-22.7,0.51,1.34,0.83,0.4589,0.2858,18.82,21 days 00:00:00,63 days 00:00:00,622 days 00:00:00,195 days 00:00:00
GAIL,2.75,0.4,108.93,1027488.18,1033787.89,-3.96,-0.49,1.56,0.2536,0.3703,0.1001,21,76.19,11.64,-19.06,1.02,1.52,1.32,0.7716,0.6057,18.59,22 days 00:00:00,67 days 00:00:00,1142 days 00:00:00,82 days 00:00:00
GODREJCP,2.09,0.3,60.91,1020920.55,1031930.72,-3.23,-0.84,1.39,0.2177,0.308,0.0937,20,60.0,9.9,-10.35,0.9,1.6,1.06,0.8214,0.3508,18.76,23 days 00:00:00,60 days 00:00:00,686 days 00:00:00,159 days 00:00:00
HAVELLS,-1.06,-0.15,204.27,989441.7,1007842.39,-2.77,-1.1,1.34,-0.1159,-0.1618,-0.056,18,55.56,4.97,-8.73,-0.76,0.73,-0.64,-0.5534,-0.0555,20.09,28 days 00:00:00,53 days 00:00:00,2297 days 00:00:00,839 days 00:00:00
HDFCAMC,-3.73,-0.61,167.2,962686.14,1002130.4,-4.91,-2.71,1.35,-0.4493,-0.5592,-0.1234,12,41.67,7.95,-19.8,-3.51,0.36,-3.15,-1.2862,-1.1966,16.35,31 days 00:00:00,71 days 00:00:00,2288 days 00:00:00,1148 days 00:00:00
HINDPETRO,4.64,0.66,129.3,1046413.95,1067723.64,-3.79,-0.67,1.71,0.3877,0.6264,0.1751,20,65.0,31.98,-12.75,1.95,2.22,2.31,1.1169,0.4925,20.56,25 days 00:00:00,71 days 00:00:00,1985 days 00:00:00,199 days 00:00:00
ICICIGI,3.68,0.53,126.58,1036788.52,1039539.98,-3.54,-0.64,1.45,0.3641,0.5277,0.1494,21,76.19,8.15,-10.5,1.64,2.59,1.75,1.7235,0.67,19.05,22 days 00:00:00,63 days 00:00:00,1062 days 00:00:00,136 days 00:00:00
